帧,流量,密度,速度平均值,TPI,>10替换,差分
7648,22,8,3.898997089221861,17.525874415815707,10.0,0.0
7649,20,8,4.821017212490437,15.695166254670731,10.0,0.0
7650,20,11,5.901502506559154,12.906317769417557,10.0,0.0
7651,22,14,5.99721181711038,11.621562122938588,10.0,0.0
7652,22,12,4.128780505795348,16.99085602953396,10.0,0.0
7653,21,10,4.45922152978116,16.587705606068873,10.0,0.0
7654,20,10,4.095565021026086,19.08568567837878,10.0,0.0
7655,21,11,4.253232649605001,17.577666429521067,10.0,0.0
7656,21,10,5.309690264536193,14.140064926352789,10.0,0.0
7657,21,11,4.843938737871988,15.565189709634582,10.0,0.0
7658,21,10,5.887610197966131,12.859935214535964,10.0,0.0
7659,24,14,4.708977451592984,14.15735525429501,10.0,0.0
7660,24,14,5.975434615550841,11.22651951688192,10.0,0.9058251968824713
7661,24,13,7.40706139583103,9.094174803117529,9.094174803117529,-0.797998182264763
7662,24,14,6.851657151359292,9.892172985382292,9.892172985382292,-0.10782701461770827
7663,25,13,5.917556727119998,11.04059265438259,10.0,0.0
7664,26,13,4.960338340536651,12.690408118795308,10.0,1.7103103281340584
7665,28,15,7.036853687214442,8.289689671865942,8.289689671865942,-1.3301025222023881
7666,27,13,6.249974591675302,9.61979219406833,9.61979219406833,1.626361883698678
7667,29,15,6.988497653260197,7.993430310369652,7.993430310369652,0.2744889553945109
7668,29,12,7.222120738208556,7.718941354975141,7.718941354975141,1.4584440803453358
7669,29,13,8.831144539569873,6.260497274629805,6.260497274629805,-0.7313842831431661
7670,29,12,7.841606834135222,6.991881557772971,6.991881557772971,0.5093584665290383
7671,30,15,8.10726854587581,6.482523091243933,6.482523091243933,-0.18157790655750805
7672,30,16,7.819676071581619,6.664100997801441,6.664100997801441,-0.34128401488239213
7673,30,15,7.375278671068023,7.005385012683833,7.005385012683833,1.2907116780597612
7674,30,14,8.963280877644737,5.714673334624072,5.714673334624072,-0.5340817405924252
7675,29,14,8.443061066500077,6.248755075216497,6.248755075216497,-0.6320867698785806
7676,30,13,7.379587980789601,6.880841845095078,6.880841845095078,-0.1533051684425084
7677,32,15,6.76758199324665,7.034147013537586,7.034147013537586,2.2443430921669236
7678,32,15,9.89515105657403,4.7898039213706625,4.7898039213706625,0.20526967968240317
7679,32,15,10.2927576744684,4.584534241688259,4.584534241688259,0.19618160436718401
7680,32,15,10.7054219542725,4.388352637321075,4.388352637321075,-0.400868619441904
7681,31,15,10.05842921596653,4.789221256762979,4.789221256762979,-0.34318587448759885
7682,30,14,9.612123916076124,5.132407131250578,5.132407131250578,0.6986138382425224
7683,28,15,11.84087676861047,4.433793293008056,4.433793293008056,-0.45091125163940227
7684,28,14,10.6747207873594,4.884704544647458,4.884704544647458,-0.4112062250457207
7685,27,13,10.14059829161643,5.295910769693179,5.295910769693179,-0.03130169241986991
7686,26,13,10.42061320205,5.3272124621130486,5.3272124621130486,0.5920252679008415
7687,25,14,12.10793385389527,4.735187194212207,4.735187194212207,-0.5435088201486931
7688,25,12,10.810750706503,5.2786960143609,5.2786960143609,-0.898486075030017
7689,25,12,9.216716054252997,6.177182089390917,6.177182089390917,-0.07180003316053529
7690,25,12,9.068143508070996,6.248982122551452,6.248982122551452,-3.7510178774485476
7691,24,11,5.518810276080914,10.670576798792908,10.0,0.0
7692,23,10,5.753722741981909,10.604350520478215,10.0,2.513579365786293
7693,23,12,8.091945818282246,7.486420634213707,7.486420634213707,0.8590535075535843
7694,23,11,9.140841149606997,6.627367126660123,6.627367126660123,-1.2425788426876165
7695,24,13,7.359220367235481,7.869945969347739,7.869945969347739,1.807553025377934
7696,24,13,9.530523394272667,6.062392943969805,6.062392943969805,-3.9376070560301946
7697,24,10,5.303602376515972,10.867875228375034,10.0,4.949006072511972
7698,26,13,10.53359575737766,5.050993927488028,5.050993927488028,-0.9686824369312186
7699,26,14,8.817238646025404,6.019676364419246,6.019676364419246,-0.47836649098688877
7700,26,10,8.148410086995124,6.498042855406135,6.498042855406135,-2.275371608272133
7701,25,10,6.276537703153247,8.773414463678268,8.773414463678268,-0.6651210998807287
7702,25,10,5.820111919207473,9.438535563558997,9.438535563558997,1.8571281071663437
7703,25,13,7.228209315381481,7.581407456392653,7.581407456392653,0.4763291860525305
7704,24,12,8.014611842090023,7.1050782703401225,7.1050782703401225,-0.9052194056267666
7705,24,12,7.108904905655822,8.01029767596689,8.01029767596689,1.2409109110526133
7706,25,11,8.075571475691703,6.769386764914276,6.769386764914276,0.15793388498782335
7707,23,10,8.965557706508221,6.6114528799264525,6.6114528799264525,-1.5824740028998088
7708,23,10,7.198686062235331,8.193926882826261,8.193926882826261,2.6690157778084913
7709,24,12,10.20629795069029,5.52491110501777,5.52491110501777,-0.6837954367104784
7710,24,12,9.082228079214795,6.208706541728248,6.208706541728248,-1.5327476130296223
7711,23,10,7.5819931243588,7.741454154757871,7.741454154757871,-0.06895210624171977
7712,24,12,7.201930107128771,7.81040626099959,7.81040626099959,0.23301267124776182
7713,24,11,7.441726263916523,7.5773935897518285,7.5773935897518285,-2.4226064102481715
7714,24,9,4.748600741726668,11.874843128711843,10.0,1.365960974397506
7715,25,10,6.269757777653297,8.634039025602494,8.634039025602494,1.2259473076154412
7716,24,10,7.536803735538053,7.408091717987053,7.408091717987053,-2.5919082820129473
7717,23,8,5.482990121204175,10.546451056494329,10.0,0.0
7718,22,8,5.506290031570398,10.924145805367232,10.0,0.0
7719,21,9,5.525642279664261,11.375536032883053,10.0,0.0
7720,22,10,5.415507626859673,11.051315771701642,10.0,0.0
7721,22,8,4.318085669137,13.859957729936838,10.0,0.0
7722,22,7,2.59789053948752,23.095661302125556,10.0,0.0
7723,20,6,3.51819322974744,18.75962907379534,10.0,0.0
7724,21,9,4.599566001319055,13.665885615972636,10.0,0.0
7725,20,9,5.807989623314602,11.392352768858006,10.0,0.0
7726,20,7,4.201061668079854,15.78965951329436,10.0,0.0
7727,22,8,3.68795452439688,16.39243245940839,10.0,0.0
7728,21,8,4.58878781776983,13.83634763982635,10.0,0.0
7729,21,6,3.386657681166661,18.747706284324337,10.0,0.0
7730,19,7,2.996486953789197,23.41923715294376,10.0,0.0
7731,20,6,1.587214472001759,42.002305197348775,10.0,0.0
7732,21,8,2.688231317761747,23.73661945976151,10.0,0.0
7733,19,8,6.650058332412454,10.684512530158736,10.0,0.0
7734,19,9,6.803201525269752,10.469786895312401,10.0,0.0
7735,21,6,2.916359628688067,22.151991807758133,10.0,0.0
7736,20,7,5.20265603876888,13.198386776865508,10.0,0.0
7737,22,9,4.334828701790562,14.505483885168271,10.0,0.0
7738,22,7,4.486067895910125,14.117783056978094,10.0,0.0
7739,23,6,3.0863390176171,19.722255030941955,10.0,0.0
7740,22,8,5.217417235152775,12.254989596882734,10.0,0.0
7741,21,8,4.298196885689155,15.62116834768767,10.0,0.0
7742,20,6,3.403912107938666,20.760426364081663,10.0,0.0
7743,21,7,3.27876867853216,20.623305346847257,10.0,0.0
7744,20,9,6.194056598038481,11.543323647162419,10.0,0.0
7745,19,9,4.894664361000268,15.44825743113199,10.0,0.12470961471683673
7746,19,8,7.710188552091853,9.875290385283163,9.875290385283163,-0.12470961471683673
7747,19,8,4.364344738147754,17.606790909869783,10.0,0.0
7748,19,8,6.535622716727715,11.864800495697496,10.0,0.0
7749,19,8,5.227272375250999,14.968727171277463,10.0,0.0
7750,19,8,6.30152081487806,12.52830399840238,10.0,0.0
7751,21,11,4.908530463710214,14.681276320127266,10.0,0.16537393343752882
7752,22,13,7.040676866998236,9.834626066562471,9.834626066562471,0.177462102062373
7753,24,12,6.586934978524405,9.657163964500098,9.657163964500098,-0.3428360354999018
7754,20,10,5.765047763871135,13.29853104550625,10.0,0.0
7755,20,11,6.17861296352688,12.462343968547726,10.0,0.0
7756,20,11,7.101474842686074,10.889756712013167,10.0,0.0
7757,20,11,5.755464340518012,13.523380344031123,10.0,0.0
7758,19,10,6.053284829740067,13.621718235653868,10.0,0.0
7759,20,10,6.79283216759791,11.62990606139708,10.0,0.0
7760,21,11,5.96667892302256,12.716121791011446,10.0,0.0
7761,20,9,6.200602310767292,12.928851529061612,10.0,0.0
7762,21,11,6.074994489994783,12.646167326064981,10.0,0.0
7763,21,10,5.127652025541328,15.013524045832604,10.0,0.0
7764,22,10,4.991617712198527,14.721649918275201,10.0,0.0
7765,21,11,7.133448625276027,10.791992909481156,10.0,0.0
7766,21,11,6.907542016210361,11.12195867142116,10.0,0.0
7767,21,10,7.238625181147039,10.613258029368362,10.0,0.10587098605972578
7768,22,11,7.396489178452099,9.894129013940274,9.894129013940274,-0.10587098605972578
7769,22,10,5.759442464640789,12.653792155441431,10.0,0.0
7770,23,11,6.075129900800465,11.426963865566986,10.0,0.24606469223176752
7771,23,10,7.072581995846881,9.753935307768232,9.753935307768232,-0.24606469223176752
7772,22,12,6.290623088246431,11.392618133578944,10.0,0.0
7773,20,11,6.578753844585129,11.907016918988132,10.0,0.0
7774,20,11,7.614482981699907,10.22174893822631,10.0,0.0
7775,21,12,7.05357149319781,10.486638441190548,10.0,2.582502152204225
7776,22,13,9.518851512311837,7.417497847795775,7.417497847795775,-2.0553574121367957
7777,23,13,7.114149060513123,9.47285525993257,9.47285525993257,1.3511156414925836
7778,24,15,7.934807993367171,8.121739618439987,8.121739618439987,0.9474715770881401
7779,25,15,8.586241780338153,7.174268041351847,7.174268041351847,0.928988947640411
7780,24,15,10.22994936338723,6.245279093711436,6.245279093711436,0.42116120265230084
7781,25,16,10.50802905173861,5.824117891059135,5.824117891059135,0.2598083768535915
7782,25,13,10.92678253155744,5.564309514205544,5.564309514205544,-0.4708058731179099
7783,25,12,10.09646534038465,6.0351153873234535,6.0351153873234535,-0.6435305934993769
7784,24,11,9.52455202652829,6.6786459808228305,6.6786459808228305,0.5615883104157913
7785,25,13,10.00481004062982,6.117057670407039,6.117057670407039,0.2703304155719337
7786,24,14,10.92729079093852,5.8467272548351055,5.8467272548351055,0.2078804223819164
7787,24,15,11.35476449001584,5.638846832453189,5.638846832453189,-0.031572991481404244
7788,25,15,10.83987933436931,5.670419823934593,5.670419823934593,0.2763403944381402
7789,25,15,11.44464669833315,5.394079429496453,5.394079429496453,0.4144265605794235
